第2シーズン
20200524
C6529 | 20:02 | 三般南喰赤祝 | ソギモギ皇帝(+79.0,-1枚) とぅーり王(-15.0,+7枚) kitagaw(-64.0,-6枚)
C6529 | 20:19 | 三般南喰赤祝 | kitagaw(+54.0,+6枚) とぅーり王(-3.0,-2枚) ソギモギ皇帝(-51.0,-4枚)
C6529 | 21:09 | 三般南喰赤祝 | ソギモギ皇帝(+62.0,+1枚) ニートしたい(-10.0,0枚) kitagaw(-52.0,-1枚)
C6529 | 21:25 | 三般南喰赤祝 | kitagaw(+59.0,+3枚) ソギモギ皇帝(+11.0,0枚) ニートしたい(-70.0,-3枚)
C6529 | 21:40 | 三般南喰赤祝 | ニートしたい(+72.0,+3枚) Toshi624(-5.0,0枚) kitagaw(-67.0,-3枚)
C6529 | 21:42 | 三般南喰赤祝 | ソギモギ皇帝(+49.0,-1枚) バラク・オマタ(-7.0,+5枚) さかかきばら(-42.0,-4枚)
C6529 | 21:55 | 三般南喰赤祝 | ソギモギ皇帝(+59.0,-1枚) バラク・オマタ(+8.0,+2枚) さかかきばら(-67.0,-1枚)
C6529 | 22:08 | 三般南喰赤祝 | ソギモギ皇帝(+46.0,+1枚) バラク・オマタ(-5.0,-3枚) さかかきばら(-41.0,+2枚)
C6529 | 22:24 | 三般南喰赤祝 | ソギモギ皇帝(+54.0,-7枚) さかかきばら(-7.0,-1枚) バラク・オマタ(-47.0,+8枚)
C6529 | 22:37 | 三般南喰赤祝 | ソギモギ皇帝(+48.0,+1枚) さかかきばら(-3.0,+6枚) 場代負け(-45.0,-7枚)
C6529 | 22:57 | 三般南喰赤祝 | とぅーり王(+42.0,-4枚) 鳥谷タカシ(-5.0,+4枚) さかかきばら(-37.0,0枚)
C6529 | 23:17 | 三般南喰赤祝 | 鳥谷タカシ(+61.0,+2枚) とぅーり王(+1.0,+3枚) さかかきばら(-62.0,-5枚)
C6529 | 23:38 | 三般南喰赤祝 | 鳥谷タカシ(+65.0,+3枚) とぅーり王(-2.0,0枚) さかかきばら(-63.0,-3枚)
20200527
C6529 | 12:47 | 三般南喰赤祝 | Toshi624(+102.0,+1枚) さかかきばら(-13.0,+5枚) バラク・オマタ(-89.0,-6枚)
C6529 | 13:08 | 三般南喰赤祝 | さかかきばら(+52.0,+1枚) バラク・オマタ(+7.0,+7枚) kitagaw(-59.0,-8枚)
C6529 | 13:23 | 三般南喰赤祝 | kitagaw(+49.0,+4枚) さかかきばら(-1.0,-1枚) バラク・オマタ(-48.0,-3枚)
C6529 | 13:33 | 三般南喰赤祝 | kitagaw(+75.0,+1枚) バラク・オマタ(-8.0,+1枚) さかかきばら(-67.0,-2枚)
C6529 | 13:48 | 三般南喰赤祝 | kitagaw(+60.0,+4枚) バラク・オマタ(+3.0,-1枚) さかかきばら(-63.0,-3枚)
C6529 | 19:51 | 三般南喰赤祝 | Toshi624(+95.0,+34枚) バラク・オマタ(-17.0,-15枚) 場代負け(-78.0,-19枚)
C6529 | 20:04 | 三般南喰赤祝 | バラク・オマタ(+50.0,-4枚) Toshi624(-4.0,-1枚) 場代負け(-46.0,+5枚)
C6529 | 20:18 | 三般南喰赤祝 | 場代負け(+70.0,+7枚) バラク・オマタ(-18.0,-3枚) Toshi624(-52.0,-4枚)
C6529 | 20:40 | 三般南喰赤祝 | 鳥谷タカシ(+47.0,+1枚) バラク・オマタ(-8.0,+3枚) 場代負け(-39.0,-4枚)
C6529 | 21:32 | 三般南喰赤祝 | さかかきばら(+58.0,0枚) 場代負け(+8.0,+1枚) 鳥谷タカシ(-66.0,-1枚)
C6529 | 21:51 | 三般南喰赤祝 | さかかきばら(+64.0,-4枚) 場代負け(-13.0,+4枚) 鳥谷タカシ(-51.0,0枚)
C6529 | 22:07 | 三般南喰赤祝 | とぅーり王(+52.0,0枚) 場代負け(+6.0,0枚) さかかきばら(-58.0,0枚)
C6529 | 22:20 | 三般南喰赤祝 | さかかきばら(+74.0,+4枚) とぅーり王(-16.0,-2枚) 場代負け(-58.0,-2枚)
C6529 | 22:43 | 三般南喰赤祝 | とぅーり王(+76.0,+13枚) さかかきばら(-9.0,-9枚) 場代負け(-67.0,-4枚)
C6529 | 23:07 | 三般南喰赤祝 | とぅーり王(+83.0,+4枚) 場代負け(-13.0,0枚) さかかきばら(-70.0,-4枚)
C6529 | 23:19 | 三般南喰赤祝 | さかかきばら(+55.0,+6枚) 場代負け(-2.0,-2枚) バラク・オマタ(-53.0,-4枚)
C6529 | 23:29 | 三般南喰赤祝 | ソギモギ皇帝(+58.0,+2枚) バラク・オマタ(-13.0,-2枚) 鳥谷タカシ(-45.0,0枚)
C6529 | 23:49 | 三般南喰赤祝 | ソギモギ皇帝(+42.0,-3枚) バラク・オマタ(-5.0,+1枚) 鳥谷タカシ(-37.0,+2枚)
20200528
C6529 | 00:05 | 三般南喰赤祝 | 鳥谷タカシ(+61.0,+6枚) バラク・オマタ(+1.0,-1枚) ソギモギ皇帝(-62.0,-5枚)
C6529 | 00:22 | 三般南喰赤祝 | ソギモギ皇帝(+97.0,+18枚) バラク・オマタ(-30.0,-8枚) 鳥谷タカシ(-67.0,-10枚)
C6529 | 00:37 | 三般南喰赤祝 | バラク・オマタ(+53.0,+2枚) ソギモギ皇帝(+2.0,0枚) 鳥谷タカシ(-55.0,-2枚)
C6529 | 00:51 | 三般南喰赤祝 | 鳥谷タカシ(+51.0,0枚) バラク・オマタ(-8.0,-2枚) ソギモギ皇帝(-43.0,+2枚)
C6529 | 20:35 | 三般南喰赤祝 | 鳥谷タカシ(+58.0,+4枚) kitagaw(+7.0,0枚) さかかきばら(-65.0,-4枚)
C6529 | 22:13 | 三般南喰赤祝 | 鳥谷タカシ(+60.0,+5枚) バラク・オマタ(+4.0,-1枚) さかかきばら(-64.0,-4枚)
C6529 | 22:28 | 三般南喰赤祝 | バラク・オマタ(+104.0,+13枚) さかかきばら(-11.0,-6枚) 鳥谷タカシ(-93.0,-7枚)
C6529 | 22:46 | 三般南喰赤祝 | 鳥谷タカシ(+49.0,0枚) ソギモギ皇帝(0.0,0枚) さかかきばら(-49.0,0枚)
C6529 | 22:59 | 三般南喰赤祝 | 鳥谷タカシ(+70.0,+7枚) さかかきばら(-8.0,-2枚) ソギモギ皇帝(-62.0,-5枚)
C6529 | 23:10 | 三般南喰赤祝 | ソギモギ皇帝(+52.0,+1枚) 鳥谷タカシ(-8.0,+1枚) さかかきばら(-44.0,-2枚)
C6529 | 23:22 | 三般南喰赤祝 | さかかきばら(+55.0,-2枚) ソギモギ皇帝(+7.0,+4枚) 鳥谷タカシ(-62.0,-2枚)
20200529
C6529 | 12:32 | 三般南喰赤祝 | 鳥谷タカシ(+57.0,0枚) kitagaw(-7.0,+3枚) さかかきばら(-50.0,-3枚)
C6529 | 12:41 | 三般南喰赤祝 | さかかきばら(+102.0,+4枚) kitagaw(-16.0,+2枚) バラク・オマタ(-86.0,-6枚)
C6529 | 12:59 | 三般南喰赤祝 | さかかきばら(+196.0,+14枚) バラク・オマタ(-82.0,-7枚) kitagaw(-114.0,-7枚)
C6529 | 13:23 | 三般南喰赤祝 | バラク・オマタ(+69.0,+5枚) さかかきばら(-16.0,-3枚) kitagaw(-53.0,-2枚)
C6529 | 20:48 | 三般南喰赤祝 | 鳥谷タカシ(+58.0,+5枚) 場代負け(+9.0,+2枚) バラク・オマタ(-67.0,-7枚)
C6529 | 21:01 | 三般南喰赤祝 | バラク・オマタ(+53.0,0枚) 場代負け(+7.0,+2枚) さかかきばら(-60.0,-2枚)
C6529 | 21:12 | 三般南喰赤祝 | バラク・オマタ(+68.0,+3枚) 場代負け(-17.0,0枚) さかかきばら(-51.0,-3枚)
C6529 | 21:27 | 三般南喰赤祝 | バラク・オマタ(+67.0,+1枚) 場代負け(-10.0,+2枚) さかかきばら(-57.0,-3枚)
C6529 | 21:38 | 三般南喰赤祝 | バラク・オマタ(+44.0,-1枚) さかかきばら(-2.0,+4枚) 場代負け(-42.0,-3枚)
C6529 | 21:50 | 三般南喰赤祝 | とぅーり王(+84.0,+5枚) バラク・オマタ(-17.0,-4枚) さかかきばら(-67.0,-1枚)
C6529 | 22:08 | 三般南喰赤祝 | さかかきばら(+41.0,-2枚) とぅーり王(-3.0,+1枚) バラク・オマタ(-38.0,+1枚)
C6529 | 22:21 | 三般南喰赤祝 | バラク・オマタ(+61.0,+6枚) とぅーり王(-15.0,-5枚) さかかきばら(-46.0,-1枚)
C6529 | 22:36 | 三般南喰赤祝 | とぅーり王(+69.0,+6枚) さかかきばら(-13.0,-2枚) バラク・オマタ(-56.0,-4枚)
C6529 | 22:49 | 三般南喰赤祝 | とぅーり王(+98.0,+2枚) バラク・オマタ(-4.0,+1枚) さかかきばら(-94.0,-3枚)
C6529 | 23:00 | 三般南喰赤祝 | さかかきばら(+55.0,-1枚) バラク・オマタ(-9.0,-1枚) とぅーり王(-46.0,+2枚)
C6529 | 23:13 | 三般南喰赤祝 | さかかきばら(+70.0,+8枚) とぅーり王(+5.0,+1枚) バラク・オマタ(-75.0,-9枚)
C6529 | 23:32 | 三般南喰赤祝 | さかかきばら(+51.0,+4枚) とぅーり王(-3.0,0枚) バラク・オマタ(-48.0,-4枚)
C6529 | 23:41 | 三般南喰赤祝 | バラク・オマタ(+128.0,+8枚) とぅーり王(-41.0,-5枚) さかかきばら(-87.0,-3枚)
C6529 | 23:56 | 三般南喰赤祝 | さかかきばら(+49.0,+1枚) バラク・オマタ(+4.0,-1枚) とぅーり王(-53.0,0枚)
20200530
C6529 | 00:07 | 三般南喰赤祝 | バラク・オマタ(+87.0,-1枚) さかかきばら(-25.0,+1枚) とぅーり王(-62.0,0枚)
C6529 | 00:23 | 三般南喰赤祝 | さかかきばら(+87.0,+5枚) バラク・オマタ(-9.0,-2枚) とぅーり王(-78.0,-3枚)
C6529 | 00:39 | 三般南喰赤祝 | バラク・オマタ(+117.0,+8枚) Toshi624(+9.0,0枚) さかかきばら(-126.0,-8枚)
C6529 | 00:52 | 三般南喰赤祝 | さかかきばら(+58.0,-2枚) Toshi624(+7.0,+7枚) バラク・オマタ(-65.0,-5枚)
C6529 | 01:08 | 三般南喰赤祝 | バラク・オマタ(+59.0,+7枚) Toshi624(-10.0,-3枚) さかかきばら(-49.0,-4枚)
C6529 | 01:21 | 三般南喰赤祝 | さかかきばら(+69.0,+5枚) Toshi624(-9.0,0枚) バラク・オマタ(-60.0,-5枚)
C6529 | 01:32 | 三般南喰赤祝 | さかかきばら(+64.0,+3枚) Toshi624(-7.0,-1枚) バラク・オマタ(-57.0,-2枚)
C6529 | 01:46 | 三般南喰赤祝 | さかかきばら(+52.0,0枚) バラク・オマタ(-7.0,+2枚) Toshi624(-45.0,-2枚)
C6529 | 10:54 | 三般南喰赤祝 | Toshi624(+74.0,+2枚) バラク・オマタ(-15.0,-1枚) とぅーり王(-59.0,-1枚)
C6529 | 13:28 | 三般南喰赤祝 | さかかきばら(+62.0,+2枚) 場代負け(-5.0,-2枚) ソギモギ皇帝(-57.0,0枚)
C6529 | 13:51 | 三般南喰赤祝 | ソギモギ皇帝(+73.0,+3枚) とぅーり王(-16.0,-1枚) バラク・オマタ(-57.0,-2枚)
C6529 | 14:18 | 三般南喰赤祝 | ソギモギ皇帝(+64.0,+4枚) さかかきばら(-14.0,-2枚) kitagaw(-50.0,-2枚)
C6529 | 14:39 | 三般南喰赤祝 | さかかきばら(+69.0,+4枚) ソギモギ皇帝(-18.0,-2枚) 場代負け(-51.0,-2枚)
C6529 | 14:59 | 三般南喰赤祝 | 鳥谷タカシ(+57.0,+1枚) 場代負け(+5.0,+2枚) ソギモギ皇帝(-62.0,-3枚)
C6529 | 15:22 | 三般南喰赤祝 | Toshi624(+60.0,+10枚) 鳥谷タカシ(+6.0,-2枚) 場代負け(-66.0,-8枚)
C6529 | 15:36 | 三般南喰赤祝 | 場代負け(+49.0,+3枚) Toshi624(-7.0,-4枚) 鳥谷タカシ(-42.0,+1枚)
C6529 | 15:48 | 三般南喰赤祝 | 場代負け(+58.0,+5枚) 鳥谷タカシ(-8.0,-3枚) Toshi624(-50.0,-2枚)
C6529 | 16:01 | 三般南喰赤祝 | Toshi624(+57.0,0枚) ソギモギ皇帝(-11.0,-3枚) 場代負け(-46.0,+3枚)
C6529 | 16:11 | 三般南喰赤祝 | ソギモギ皇帝(+71.0,0枚) Toshi624(-20.0,+1枚) 場代負け(-51.0,-1枚)
C6529 | 16:22 | 三般南喰赤祝 | Toshi624(+71.0,+6枚) ソギモギ皇帝(+13.0,+8枚) 場代負け(-84.0,-14枚)
